id,asset_type_id,name,manufacturer,model,Cell Type,Power Wattage,Power output tolerance ():,Connector type:,Warranty Type,Phase 1 Years,Phase 1 Percent,Phase 2 Years,Phase 2 Percent,Length (in.),Width (in.),Depth (in.),Weight (lbs.)
,5,Astronergy VIOLIN II CHSM6612P 315W HV,Astronergy,VIOLIN II CHSM6612P 315W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 320W,Astronergy,VIOLIN II CHSM6612P 320W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 320W HV,Astronergy,VIOLIN II CHSM6612P 320W HV,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 325W,Astronergy,VIOLIN II CHSM6612P 325W,,,,,Linear,25,80.7,,,,,,
,5,Astronergy VIOLIN II CHSM6612P 325W HV,Astronergy,VIOLIN II CHSM6612P 325W HV,,,,,Linear,25,80.7,,,,,,
,5,BYD 120P6C-18,BYD,120P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 125P6C-18,BYD,125P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 130P6C-18,BYD,130P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 135P6C-18,BYD,135P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 140P6C-18,BYD,140P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 145P6C-18,BYD,145P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 150P6C-18,BYD,150P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 155P6C-18,BYD,155P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 160P6C-18,BYD,160P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 160P6C-24,BYD,160P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 165P6C-18,BYD,165P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 165P6C-24,BYD,165P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 170P6C-18,BYD,170P6C-18,,,,,Linear,25,80,,,,,,
,5,BYD 170P6C-24,BYD,170P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 175P6C-24,BYD,175P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 180P6C-24,BYD,180P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 180P6C-27,BYD,180P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 185P6C-24,BYD,185P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 185P6C-27,BYD,185P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 190P6C-24,BYD,190P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 190P6C-27,BYD,190P6C-27,,,,,Linear,25,80,,,,,,
,5,BYD 195P6C-24,BYD,195P6C-24,,,,,Linear,25,80,,,,,,
,5,BYD 195P6C-27,BYD,195P6C-27,,,,,Linear,25,80,,,,,,
